Hotel Name,Hotel Address,Hotel Rating,Author,Review Rating,Review Title,Review Description,type,Date,Response
Surat Marriott Hotel,"Ambika Niketan, Surat Dumas Road, Surat 395007 India",4.5,Vikas Jain,5.0,Best Hotel in Surat,"Stayed at Surat Marriott Hotel for work. The hotel is beautiful and vibrant. The food is delicious and the breakfast spread very elaborate. The rooms are very comfortable and spacious with well thought amenities. The staff is extremely helpful and cordial. The ambience, location, food is amazing. My experience was enhanced by the smiles, special treatment and sincere care of Nonibala (Duty Manager), Hema Lingwal & Umaer. It was an amazing experience! Big shout out to this property !",Traveled on business,May 2023,
,,,Anna B,5.0,Excellent Lounge,"Hema, Nilesh and Rani went above and beyond to ensure a wonderful stay. Lounge was spacious with great food and drink. Nice place to relax after a busy work day. Highly recommend next time you are in Surat! ",Traveled on business,June 2023,
,,,Ajaykumar Deshmukh,5.0,Excellent Service ,Stay was wonderful and service was at its best. Mr Ganesh from front office helped at best level. Mr Ranjeet did wonderful job to ensure our special request to be fulfilled.   Rushikesh from in room dining team provided the quick service  Keep the work team .   Would love to travel back ,Traveled on business,June 2023,
,,,Ashish T,5.0,Very nice stay,Superb hospitability during the stay and all is superb including the staffs well mannered and very kind  Also having great management side shri rani ji the guest relation manager helping getting stay better  Thanks to all ,Traveled as a couple,June 2023,
,,,Curiosity11488588881,5.0,"Clean rooms, amazing food, the hotel itself looks so beautiful from outside","The service is excellent. Staff is very very friendly. Vikash, does a great job in cleaning my room, and is very friendly too. Love my stay over here. And the food, what do I even talk abt it, it's just mouth watering, literally sooo good. The supar visor, Bhushan, and Kavita are also very friendly.",Traveled with family,June 2023,
,,,Fran-Svk,5.0,satisfy,"very pleasant hotel, good service, quiet, etc. the best things are: breakfast buffet offer; western and indian, so its easy to try local. and also hotel's swimming pool; short but available, and cause its hot here, you can swim at any time.",Traveled on business,May 2023,
,,,Jitendra K Das,5.0,Fabulous. ,Mr. Bajrangi was excellent in House keeping. Mr BISWANATH and KISHORE were too good in restaurant.  Overall experience was quite pleasant. I would love to come again n and again. Certainly recommend to Friends. ,Traveled on business,June 2023,
,,,Samarjit B,5.0,Excellent Dinner,Had an excellent dinner at Marriott Surat. The Food quality was amazing. Baked chicken dish prepared by chef Mahendra Singh Chundawat was awesome. All other staff members were very polite and helpful. Excellent hospitality. Ambience & location is superb.,Traveled as a couple,June 2023,
,,,Navigator578935,5.0,Perfect destination in Surat,The rooms are cosy and spacious enough. The hotel staffs right from front desk to room boy are very cooperative and helpful. Housekeeping boy Bajrangi and supervisor Bibhutibhusan and quite helpful and always courteous. We enjoyed our stay here,,May 2023,
,,,Camper39811777067,5.0,Excellent stayed at room no 433.,"I stayed in this beautiful hotel from 23.05.2023 to 31.05.2023. The room service was fantastic. The hotel food is very tasty. View from room is very pleasant. Hotel staff are very cooperative.uday and supervisor bibhuti bhusan nice take care of guest and so helpful,Dhiraj and Bindu room cleaning very good and nice behaviour,,,thanks marriott hotel and staff happy with stay",,May 2023,
